issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
microsoft/CNTK#1000,11,352,1,0,0,0.0010141987829614604,0,1,0,1,0,0
microsoft/CNTK#1001,5,1816,84,0,0,0.002026342451874367,0,1,0,2,1,0
microsoft/CNTK#1002,5,587,36,0,0,0.0020242914979757085,0,2,0,2,0,0
microsoft/CNTK#1003,4,82,23,0,1,0.004044489383215369,0,3,1,4,2,0
microsoft/CNTK#1004,5,167,19,0,0,0.005050505050505051,0,4,1,5,2,0
microsoft/CNTK#1005,9,61,3,0,0,0.0010090817356205853,0,1,0,1,0,0
microsoft/CNTK#1006,12,253,23,0,0,0.0030241935483870967,0,3,1,3,1,1
microsoft/CNTK#1007,6,30,10,0,0,0.0010070493454179255,0,1,0,1,0,0
microsoft/CNTK#1008,5,64,10,0,0,0.001006036217303823,0,1,1,1,1,1
microsoft/CNTK#1009,4,41,0,0,0,0.02814070351758794,0,947,165,1281,267,0
microsoft/CNTK#1010,3,81,5,0,0,0.002008032128514056,0,1,0,2,1,0
microsoft/CNTK#1011,4,3,0,0,0,0.0010030090270812437,0,1,0,1,0,0
microsoft/CNTK#1012,4,19,1,0,0,0.001002004008016032,0,1,0,1,0,0
microsoft/CNTK#1013,3,47,5,0,0,0.004004004004004004,0,4,1,4,1,0
microsoft/CNTK#1014,5,124,2,0,0,0.003,0,3,1,3,1,0
microsoft/CNTK#1015,7,31,0,0,0,0.000999000999000999,0,1,0,1,0,0
microsoft/CNTK#1016,6,26147,445,0,0,0.008982035928143712,0,6,0,9,0,0
microsoft/CNTK#1017,6,42,1,0,0,0.0019940179461615153,0,2,2,2,2,1
microsoft/CNTK#1018,4,1544,159,0,0,0.00199203187250996,0,1,1,2,2,1
microsoft/CNTK#1019,5,422,28,0,0,0.009950248756218905,0,7,0,10,0,0
microsoft/CNTK#101,3,36,1,0,0,0.009900990099009901,0,1,0,1,0,0
microsoft/CNTK#1020,7,70,2,1,0,0.005964214711729622,0,5,0,6,0,0
microsoft/CNTK#1021,5,44,11,0,0,0.0019860973187686196,0,1,0,2,0,0
