issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
Theano/Theano#1002,6,25,2,0,0,0.08902691511387163,0.12099644128113879,78,0,87,0,0
Theano/Theano#1005,3,22,2,0,0,0.12074303405572756,0.04407582938388625,59,1,123,2,0
Theano/Theano#1006,6,8,0,2,0,0.29690721649484536,0,138,0,288,0,0
Theano/Theano#1017,8,2,1,0,0,0.0010193679918450561,0,1,0,1,0,0
Theano/Theano#1018,4,131,10,0,0,0.002036659877800407,0.005860290670417253,2,1,2,1,1
Theano/Theano#101,6,10,3,0,0,0.4158415841584158,0,18,0,42,0,0
Theano/Theano#1022,11,42,0,0,0,0.5993914807302231,0.3445631970260223,357,4,594,9,0
Theano/Theano#1024,4,66,7,0,0,0.6022267206477733,0.34517177344475397,359,4,598,9,0
Theano/Theano#1026,5,141,15,1,0,0.00404040404040404,0.010867052023121387,3,1,4,1,0
Theano/Theano#1028,6,14,0,0,0,0.07963709677419355,0.044121044121044124,64,3,79,3,0
Theano/Theano#1029,7,50,2,0,0,0.08056394763343404,0.044121044121044124,65,3,80,3,0
Theano/Theano#1032,5,46,7,0,0,0.0050200803212851405,0.010839483394833949,4,1,5,1,0
Theano/Theano#103,4,3,0,1,0,0.4368932038834951,0,20,0,45,0,0
Theano/Theano#1049,2,17,3,0,0,0.12351778656126482,0.04260140493995015,60,1,131,3,0
Theano/Theano#1050,7,58,10,0,0,0.19940769990128332,0.11874008610922275,138,0,202,3,0
Theano/Theano#1055,4,67,4,0,1,0.0068762278978389,0.002030685920577617,10,3,12,5,0
Theano/Theano#1057,4,99,4,1,0,0.00392156862745098,0.0013528748590755355,3,2,4,2,1
Theano/Theano#1062,5,79,2,0,0,0.2021484375,0.11874298540965207,140,0,207,3,0
Theano/Theano#1064,6,45,3,0,0,0.6009756097560975,0.3405780864889088,369,4,620,11,0
Theano/Theano#1065,5,36,2,0,0,0.12378167641325535,0.042124131749943984,61,1,133,4,0
Theano/Theano#1070,3,56,7,0,0,0.10572259941804074,0.04358407079646018,57,3,153,7,0
Theano/Theano#1072,8,0,1,0,0,0.601161665053243,0.3362812292726067,371,4,626,13,0
Theano/Theano#1092,5,79,9,0,0,0.5988593155893536,0.33419857235561323,375,5,636,15,1
Theano/Theano#1096,5,227,29,0,0,0.015151515151515152,0.01333907056798623,16,5,17,5,0
Theano/Theano#1098,5,52,3,0,0,0.017013232514177693,0.013321873657069187,18,5,19,5,0
Theano/Theano#109,3,3,0,1,1,0.3211009174311927,0.10511363636363637,30,1,57,1,0
Theano/Theano#10,3,29,5,0,0,0.7,0.10752688172043011,5,0,9,0,0
Theano/Theano#1105,3,18,2,0,0,0.018779342723004695,0.013669372063220846,20,5,21,5,0
Theano/Theano#1110,4,185,21,0,0,0.019626168224299065,0.013602550478214665,21,5,22,5,0
Theano/Theano#1114,7,26,1,1,0,0.6005586592178771,0.3311468472280999,381,5,652,17,0
Theano/Theano#1122,4,178,21,0,0,0.02497687326549491,0.014541622760800843,25,5,28,5,0
Theano/Theano#1133,5,97,3,0,0,0.008249312557286892,0.0027066416822819073,12,4,14,6,0
Theano/Theano#1137,6,594,70,0,0,0.0009132420091324201,0.0,1,0,1,0,0
Theano/Theano#1144,7,167,39,0,0,0.0018148820326678765,0,18,4,19,4,1
Theano/Theano#1145,9,123,18,0,0,0.0009066183136899365,0.0,1,1,1,1,1
Theano/Theano#1146,7,149,13,2,1,0.0009057971014492754,0.0,1,0,1,0,0
Theano/Theano#1147,7,69,9,0,0,0.0018099547511312218,0.0,2,1,2,1,0
Theano/Theano#1148,4,54,13,0,0,0.0018083182640144665,0.0,2,0,2,0,0
Theano/Theano#1153,7,82,12,0,0,0.0009000900090009,0,17,4,23,4,0
Theano/Theano#1154,4,101,4,0,0,0.0008992805755395684,0,1,0,1,0,0
Theano/Theano#1164,4,218,26,0,0,0.028545941123996433,0.016106014271151887,30,6,33,6,0
Theano/Theano#1165,4,218,26,0,0,0.029411764705882353,0.016106014271151887,31,6,34,6,0
Theano/Theano#1172,7,25,2,0,0,0.03194321206743567,0.01627339300244101,34,6,37,6,0
Theano/Theano#1174,5,134,7,3,1,0.6031886625332152,0.32954083705810644,396,5,692,21,0
Theano/Theano#1175,4,122,10,0,0,0.03274336283185841,0.016253555465258026,35,6,38,6,0
Theano/Theano#1193,6,210,25,0,0,0.03484320557491289,0.01682018422106528,38,6,41,6,0
