issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
astropy/astropy#10000,13,347,43,0,0,0.0016148132199375605,0.0,25,1,27,1,0
astropy/astropy#10001,7,129,6,0,0,0.1752421959095802,0.08467858172383973,499,208,1651,678,0
astropy/astropy#10003,5,242,20,1,0,0.00043047783039173483,0,5,4,5,4,1
astropy/astropy#10004,4,248,32,0,0,0.00010760787689658883,0,1,0,1,0,0
astropy/astropy#10008,7,294,42,2,0,0.007530120481927711,0.002556715880446525,57,35,116,70,1
astropy/astropy#10010,9,347,45,0,0,0.0011830501183050118,0.0002879251394637394,7,2,12,3,1
astropy/astropy#1001,7,403,1,2,0,0.025252525252525252,0.03683062757450933,14,11,25,20,1
astropy/astropy#10022,9,245,27,0,0,0.0005370569280343716,0.00021570319240724764,4,2,5,2,1
astropy/astropy#10025,8,172,28,0,0,0.00010738831615120275,0,1,0,1,0,0
astropy/astropy#10026,4,275,42,0,0,0.17556104370235154,0.0847652599036595,502,209,1658,679,1
astropy/astropy#10029,5,216,29,0,0,0.26942893945899526,0.05348285529437136,461,129,2577,957,0
astropy/astropy#10032,6,700,99,1,2,0.07811996995385771,0.020667097980015814,196,76,745,292,1
astropy/astropy#10033,5,373,23,0,2,0.22156652360515022,0.06405003234850119,672,360,2724,1314,0
astropy/astropy#10037,8,216,27,0,0,0.30233805233805233,0.03902123531314002,639,283,2839,1096,0
astropy/astropy#10039,4,107,18,4,0,0.30248766888269357,0.03902123531314002,641,285,2841,1098,1
astropy/astropy#10042,8,96,4,0,0,0.00010719262514738985,0,1,0,1,0,0
astropy/astropy#10052,7,243,21,0,0,0.0005356760231412042,0,7,1,18,5,1
astropy/astropy#10055,4,219,19,1,1,0.0006426735218508997,0,8,2,19,6,1
astropy/astropy#10057,5,22,0,0,0,0.2214844168362429,0.06396642032001149,674,360,2728,1316,0
astropy/astropy#10063,9,31,5,0,0,0.0031039280744942738,0.0009682972313871755,59,11,68,15,0
astropy/astropy#10065,11,369,41,0,0,0.0003210616438356164,0,4,1,4,1,0
astropy/astropy#10067,6,196,14,1,1,0.22169912261930239,0.06411589629576506,676,360,2732,1316,0
astropy/astropy#10079,10,130,17,0,0,0.003314090228779132,0.0010033684512291263,61,11,70,15,0
astropy/astropy#10083,8,286,12,0,0,0.00010686044026501389,0.0,1,0,1,0,0
astropy/astropy#10084,5,174,17,2,2,0.4059194358371621,0.14722212272092275,1325,428,4029,1455,1
