issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
eclipse/deeplearning4j#1001,5,20,0,0,0,0.001,0,1,0,1,0,0
eclipse/deeplearning4j#1008,3,17,0,0,0,0.0009930486593843098,0,1,0,1,0,0
eclipse/deeplearning4j#1009,5,13,0,0,0,0.17162698412698413,0,126,18,173,44,1
eclipse/deeplearning4j#1010,7,49,3,1,0,0.17244796828543113,0,127,19,174,45,1
eclipse/deeplearning4j#1012,4,73,3,0,0,0.0009891196834817012,0,1,0,1,0,0
eclipse/deeplearning4j#1015,8,22,0,0,0,0.0019723865877712033,0,2,0,2,0,0
eclipse/deeplearning4j#1017,2,139,6,0,0,0.000984251968503937,0,1,0,1,0,0
eclipse/deeplearning4j#1018,3,7,1,0,0,0.0019665683382497543,0,2,1,2,1,1
eclipse/deeplearning4j#1019,3,21,1,0,0,0.0019646365422396855,0,1,0,2,1,0
eclipse/deeplearning4j#1021,8,49,4,0,0,0.17352941176470588,0,130,19,177,45,0
eclipse/deeplearning4j#1022,2,462,10,0,0,0.0009794319294809011,0,1,0,1,0,0
eclipse/deeplearning4j#1023,4,277,12,0,0,0.0019569471624266144,0,2,0,2,0,0
eclipse/deeplearning4j#102,3,143,22,0,0,0.009900990099009901,0,1,0,1,0,0
eclipse/deeplearning4j#1030,7,34,0,0,0,0.18172983479105928,0,136,20,187,48,1
eclipse/deeplearning4j#1039,5,146,18,1,0,0.005780346820809248,0,4,2,6,3,1
eclipse/deeplearning4j#103,4,223,1,0,0,0.00980392156862745,0,1,1,1,1,1
eclipse/deeplearning4j#1044,8,26,3,0,0,0.0009587727708533077,0,1,0,1,0,0
eclipse/deeplearning4j#1048,8,0,0,0,0,0.0028653295128939827,0,3,1,3,1,1
eclipse/deeplearning4j#104,6,19,3,0,0,0.019417475728155338,0,2,1,2,1,0
eclipse/deeplearning4j#1051,6,35,1,0,0,0.18095238095238095,0,138,21,190,49,1
eclipse/deeplearning4j#1057,3,52,0,0,0,0.000946969696969697,0,1,1,1,1,1
eclipse/deeplearning4j#1058,4,103,1,0,0,0.001892147587511826,0,2,1,2,1,0
eclipse/deeplearning4j#1059,5,30,4,0,0,0.000945179584120983,0,1,0,1,0,0
eclipse/deeplearning4j#105,3,376,14,0,1,0.019230769230769232,0,2,0,2,0,0
eclipse/deeplearning4j#1062,8,40,3,0,0,0.007540056550424128,0,7,3,8,4,1
eclipse/deeplearning4j#1065,10,119,11,0,0,0.18045112781954886,0,139,22,192,50,1
eclipse/deeplearning4j#1066,5,21,3,0,0,0.0028169014084507044,0,3,1,3,1,0
eclipse/deeplearning4j#1067,10,405,14,0,1,0.0009380863039399625,0,1,1,1,1,1
eclipse/deeplearning4j#1068,5,41,2,0,0,0.18088097469540768,0,140,22,193,50,0
eclipse/deeplearning4j#1069,5,296,11,0,0,0.0009363295880149813,0,1,0,1,0,0
eclipse/deeplearning4j#106,7,18,0,0,0,0.7142857142857143,0,3,0,75,4,0
eclipse/deeplearning4j#1070,8,46,4,0,0,0.0009354536950420954,0,1,1,1,1,1
eclipse/deeplearning4j#1071,9,22,2,0,0,0.001869158878504673,0,2,2,2,2,1
eclipse/deeplearning4j#1072,7,25,0,1,0,0.0018674136321195146,0,2,0,2,0,0
eclipse/deeplearning4j#1073,3,13,0,0,0,0.0037313432835820895,0,4,1,4,1,0
eclipse/deeplearning4j#1074,4,54,7,0,0,0.0009319664492078285,0,1,0,1,0,0
eclipse/deeplearning4j#1075,5,124,5,0,0,0.00186219739292365,0,2,1,2,1,1
eclipse/deeplearning4j#1076,3,21,2,0,0,0.1813953488372093,0,141,23,195,51,1
eclipse/deeplearning4j#1079,9,30,0,0,0,0.00927643784786642,0,9,3,10,4,0
eclipse/deeplearning4j#107,9,313,8,0,0,0.009433962264150943,0,1,0,1,0,0
eclipse/deeplearning4j#1080,5,234,23,0,3,0.0037071362372567192,0,4,3,4,3,1
eclipse/deeplearning4j#1082,4,53,7,0,0,0.0027752081406105457,0,3,1,3,1,0
eclipse/deeplearning4j#1083,6,25,0,0,0,0.0009242144177449168,0,1,0,1,0,0
eclipse/deeplearning4j#1085,5,17,0,0,0,0.0009225092250922509,0,1,0,1,0,0
eclipse/deeplearning4j#1086,5,27,0,0,0,0.010138248847926268,0,10,4,11,5,1
eclipse/deeplearning4j#1087,10,120,0,0,0,0.001841620626151013,0,2,0,2,0,0
eclipse/deeplearning4j#1088,9,69,1,0,0,0.0009199632014719411,0,1,1,1,1,1
eclipse/deeplearning4j#108,3,34,6,0,0,0.009345794392523364,0,1,0,1,0,0
eclipse/deeplearning4j#1091,8,49,2,0,0,0.006422018348623854,0,6,4,7,5,1
