issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
apache/incubator-mxnet#10003,4,32,4,0,0,0.00020582484305855717,0,2,0,5,2,0
apache/incubator-mxnet#10005,4,476,29,0,0,0.00010290183165260341,0,5,3,6,3,1
apache/incubator-mxnet#10006,4,19,5,0,0,0.00020578248791027883,0,3,1,3,1,0
apache/incubator-mxnet#10011,8,7,2,0,0,0.010490589324282628,0.005642885933091495,75,7,103,10,0
apache/incubator-mxnet#10012,12,27,0,1,0,0.007712875359934183,0.00510272592990466,59,0,75,0,0
apache/incubator-mxnet#10015,7,16,0,0,0,0.0010280662074637606,0,6,0,11,0,0
apache/incubator-mxnet#10016,3,428,23,2,0,0.00020559210526315788,0,1,0,2,0,0
apache/incubator-mxnet#10017,5,22,2,0,0,0.0005139274334463973,0,4,0,5,0,0
apache/incubator-mxnet#10019,1,56,6,0,0,0.0001027643613194944,0,1,0,1,0,0
apache/incubator-mxnet#1001,2,48,1,0,0,0.003003003003003003,0,2,0,3,0,0
apache/incubator-mxnet#10020,3,41,3,0,0,0.0002055076037813399,0,6,3,7,3,0
apache/incubator-mxnet#10026,5,1991,100,3,0,0.01735469295543233,0.002013963480128894,44,1,169,9,0
apache/incubator-mxnet#1002,1,0,0,0,0,0.002,0,2,0,2,0,0
apache/incubator-mxnet#10035,6,43,0,0,0,0.00010259567046270647,0,4,0,4,0,0
apache/incubator-mxnet#10037,8,197,27,0,0,0.00020514924607652066,0,3,0,3,0,0
apache/incubator-mxnet#10038,6,198,3,3,0,0.00041025641025641023,0.0,4,1,4,1,1
apache/incubator-mxnet#1003,4,27,1,0,0,0.002997002997002997,0,3,0,3,0,0
apache/incubator-mxnet#10041,5,36,3,0,0,0.04562698656823541,0.015021459227467811,133,37,445,125,0
apache/incubator-mxnet#10042,8,1060,69,1,0,0.0011277424646298955,0.0004023065575968888,6,0,13,2,0
apache/incubator-mxnet#10044,6,27,0,0,0,0.0002050020500205002,0,6,1,17,6,0
apache/incubator-mxnet#10046,4,51,3,0,0,0.00030747155888080353,0,3,0,3,0,0
apache/incubator-mxnet#10047,5,30,0,0,0,0.006968641114982578,0.0002681324574339724,19,0,68,1,0
apache/incubator-mxnet#10049,7,510,40,0,0,0.00010245901639344262,0,1,0,1,0,0
