issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
ipython/ipython#10002,6,86,12,0,0,0.00010788650339842486,0,1,0,1,0,0
ipython/ipython#10003,5,32,21,0,0,0.00010787486515641856,0,3,1,3,1,0
ipython/ipython#10004,5,84,8,0,0,0.00010786322942508899,0,1,0,1,0,0
ipython/ipython#10006,4,49,5,0,0,0.0007549611734253667,0,910,97,3776,558,0
ipython/ipython#10007,5,373,70,0,1,0.00010783996549121104,0,1,0,1,0,0
ipython/ipython#10008,5,23,4,0,0,0.33556178563726546,0.11214713868538347,873,109,3152,496,0
ipython/ipython#1000,5,20,0,0,0,0.4182741116751269,0.1672155140870838,135,5,427,12,0
ipython/ipython#10014,4,579,84,0,0,0.00010779346771585642,0,1,0,1,0,0
ipython/ipython#10017,8,57,14,0,0,0.00010777023386140747,0,1,0,1,0,0
ipython/ipython#1001,3,39,4,0,0,0.004056795131845842,0,2,0,4,0,0
ipython/ipython#10020,9,44,11,0,0,0.00021549402004094386,0,2,0,2,0,0
ipython/ipython#10028,10,376,37,0,0,0.00010765421466250404,0,1,0,1,0,0
ipython/ipython#1002,5,77,10,0,0,0.0010131712259371835,0,1,0,1,0,0
ipython/ipython#10034,7,141,6,0,0,0.00010758472296933836,0,1,0,1,0,0
ipython/ipython#10036,3,20,3,0,0,0.00010756157900397978,0,1,0,1,0,0
ipython/ipython#10037,5,112,9,2,1,0.00010755001075500108,0,1,0,1,0,0
ipython/ipython#10040,5,32,3,2,0,0.0003225806451612903,0.0001533428746677571,3,1,3,1,1
ipython/ipython#10042,4,29,5,0,0,0.00010750376263169211,0,1,1,1,1,1
ipython/ipython#10043,5,35,2,0,0,0.00021498441363001182,0,2,1,2,1,0
ipython/ipython#10045,6,49,3,0,0,0.00032244196044711954,0,1,0,4,0,0
ipython/ipython#1004,5,56,3,0,0,0.0010111223458038423,0,2,0,2,0,0
ipython/ipython#10051,8,1,0,1,0,0.33619763694951665,0.11255300669289327,879,110,3174,499,0
ipython/ipython#10053,4,284,15,0,0,0.00010738831615120275,0,1,1,1,1,1
ipython/ipython#10054,3,96,11,0,0,0.00010737678513905293,0,1,0,1,0,0
ipython/ipython#10055,6,57,6,0,0,0.00021473051320592657,0,2,0,2,0,0
ipython/ipython#10058,4,23,4,0,0,0.017174753112924,0.004801307590152211,38,4,169,29,0
ipython/ipython#10060,3,95,7,0,0,0.000214638334406525,0,3,1,5,1,0
ipython/ipython#10062,8,47,7,0,0,0.00010729613733905579,0,3,1,3,1,0
ipython/ipython#10063,4,51,1,1,0,0.000107284626113078,0,1,0,1,0,0
ipython/ipython#10066,5,55,8,0,0,0.00010726161106939826,0,1,0,1,0,0
ipython/ipython#10068,5,20,3,0,0,0.0002145002145002145,5.10542706897432e-05,4,2,4,2,0
ipython/ipython#10069,6,78,15,0,0,0.00021447721179624664,5.10542706897432e-05,2,0,2,0,0
