issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
keras-team/keras#10000,6,105,23,0,0,0.00010013016921998598,0,4,1,4,1,0
keras-team/keras#10002,4,6,0,0,0,0.00010011012113324657,0,3,0,3,0,0
keras-team/keras#10004,4,305,0,0,0,0.00020018016214593134,0,2,0,2,0,0
keras-team/keras#10005,7,244,1,0,0,0.00020016012810248197,0,6,0,6,0,0
keras-team/keras#10007,10,35,4,0,0,0.00010006003602161297,0,1,0,1,0,0
keras-team/keras#10008,5,537,66,0,0,0.00010005002501250626,0,1,1,1,1,1
keras-team/keras#10009,8,21,0,0,0,0.00010004001600640257,0,1,0,1,0,0
keras-team/keras#1000,6,495,12,0,0,0.008008008008008008,0,9,2,9,2,0
keras-team/keras#10010,8,59,1,0,0,0.00010003000900270081,0.0,1151,148,4750,780,0
keras-team/keras#10011,5,36,0,0,0,0.00010002000400080016,0,1,0,1,0,0
keras-team/keras#10013,6,58,4,0,0,0.0001,0,1,0,1,0,0
keras-team/keras#10014,5,51,0,0,0,9.999000099990002e-05,0,1,1,1,1,1
keras-team/keras#10015,6,40,0,0,0,9.998000399920016e-05,0,1,0,1,0,0
keras-team/keras#10017,7,50,8,4,0,0.00019992003198720512,0,5,1,6,1,1
keras-team/keras#10018,5,387,9,0,0,9.995002498750625e-05,0,1,0,1,0,0
keras-team/keras#10019,7,65,9,0,0,9.994003597841295e-05,0,1,0,1,0,0
keras-team/keras#10021,9,67,7,0,0,0.00019984012789768185,0,2,1,2,1,0
keras-team/keras#10022,2,25,5,0,0,9.991008092716555e-05,0,1,0,1,0,0
keras-team/keras#10025,4,73,12,0,0,0.028166200559328804,0,1628,262,2384,506,0
keras-team/keras#10026,3,30,3,0,0,0.00019974033756117049,0,5,0,7,1,0
keras-team/keras#10028,5,323,7,1,3,9.985022466300549e-05,0,1,0,1,0,0
keras-team/keras#1002,6,109,4,0,0,0.000999000999000999,0,1,0,1,0,0
keras-team/keras#10032,5,78,5,0,0,9.981036031540073e-05,0,1,0,1,0,0
keras-team/keras#10033,5,87,3,0,0,0.0001996007984031936,0,2,0,2,0,0
keras-team/keras#10036,7,18,0,0,0,0.00019954105557218397,0,3,1,3,1,0
keras-team/keras#10037,4,156,23,0,0,0.0005985634477254589,0,3,0,7,2,0
keras-team/keras#10039,5,103,10,0,0,9.974067424695791e-05,0,1,1,1,1,1
keras-team/keras#1003,5,39,2,0,0,0.001996007984031936,0,2,0,2,0,0
