issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
matplotlib/matplotlib#10003,3,37,5,0,0,0.001369141653501843,0.00022901637467078896,24,4,26,4,0
matplotlib/matplotlib#10005,5,136,18,0,0,0.00010529640939243972,0,1,0,1,0,0
matplotlib/matplotlib#10007,2,98,16,0,0,0.00010527423939362039,0,1,0,1,0,0
matplotlib/matplotlib#10012,5,41,0,2,2,0.02999052930653478,0.006697195191757298,79,32,285,92,0
matplotlib/matplotlib#10015,4,258,22,0,0,0.00010519671786240269,0,1,0,1,0,0
matplotlib/matplotlib#10016,6,99,11,1,0,0.00010518565267697486,0,1,0,1,0,0
matplotlib/matplotlib#10017,4,245,37,0,0,0.0013672696676482962,0.00022893772893772894,402,141,2600,888,0
matplotlib/matplotlib#10022,5,293,46,0,0,0.00010511931041732366,0,2,1,2,1,1
matplotlib/matplotlib#10037,5,67,7,0,0,0.00010499790004199917,0,1,0,1,0,0
matplotlib/matplotlib#10038,2,332,33,0,0,0.00010498687664041995,0,1,0,1,0,0
matplotlib/matplotlib#10042,7,923,73,0,0,0.000104942806170637,0,1,0,1,0,0
matplotlib/matplotlib#10045,6,325,27,0,0,0.0001049097775912715,0,1,0,1,0,0
matplotlib/matplotlib#10051,8,196,27,0,0,0.002306805074971165,0.0007989955484533729,39,6,54,12,0
matplotlib/matplotlib#10053,8,251,21,0,0,0.0002096655833944858,0,2,1,2,1,1
matplotlib/matplotlib#10056,7,130,20,0,0,0.00010479983232026829,0,1,1,1,1,1
matplotlib/matplotlib#1005,6,43,10,0,0,0.0010080645161290322,0,1,0,1,0,0
matplotlib/matplotlib#10060,7,85,10,0,0,0.00020951183741881415,0,2,0,2,0,0
matplotlib/matplotlib#10061,8,277,30,0,0,0.00031423483816905834,0,3,1,4,2,0
matplotlib/matplotlib#10062,6,111,7,0,0,0.00010473397570171764,0,1,0,1,0,0
matplotlib/matplotlib#10066,7,107,11,0,1,0.012354727253690714,0.0031947059159107764,221,44,560,175,0
matplotlib/matplotlib#10069,7,20,2,1,0,0.05045007326774126,0.02857142857142857,204,31,491,83,0
matplotlib/matplotlib#1006,6,62,2,0,0,0.002014098690835851,0,2,0,2,0,0
matplotlib/matplotlib#10072,4,251,23,0,0,0.0003139060374594538,5.701254275940707e-05,3,1,3,1,1
matplotlib/matplotlib#10073,5,242,13,0,0,0.00010462439840970915,0.0,4,1,6,1,1
matplotlib/matplotlib#10075,6,248,26,0,0,0.00010460251046025104,0,1,0,1,0,0
matplotlib/matplotlib#10078,6,398,63,0,1,0.00010456969570218551,0,1,0,1,0,0
matplotlib/matplotlib#10083,9,133,14,1,0,0.00010452597470471412,0,1,0,1,0,0
matplotlib/matplotlib#1008,4,31,2,0,0,0.0010050251256281408,0.0,1,0,1,0,0
matplotlib/matplotlib#10105,7,248,24,0,0,0.00010428616122640526,0,1,1,1,1,1
matplotlib/matplotlib#10114,3,43,7,1,0,0.05106294289287203,0.029560570746404412,208,31,499,84,0
matplotlib/matplotlib#10115,10,199,16,0,0,0.00031259768677711783,0,5,1,11,3,0
matplotlib/matplotlib#10122,8,129,20,1,0,0.0004165364990107258,0.0,36,7,45,9,0
matplotlib/matplotlib#10123,3,314,33,0,0,0.00010412328196584757,0,1,1,1,1,1
matplotlib/matplotlib#10130,3,344,53,0,0,0.00010404744563520966,0,1,0,1,0,0
matplotlib/matplotlib#10135,5,183,40,1,7,0.00010399334442595674,0,1,1,1,1,1
matplotlib/matplotlib#1013,3,195,15,0,0,0.23,0.11514812744550028,54,3,237,11,0
matplotlib/matplotlib#10140,8,79,19,0,0,0.0008316008316008316,0.00011343012704174228,11,2,12,2,0
matplotlib/matplotlib#10148,5,269,4,1,0,0.0031162355874104083,0.0011328235627301047,23,6,30,9,0
matplotlib/matplotlib#10151,5,111,6,1,0,0.0033232942153910063,0.0012458942122550686,25,7,32,10,1
matplotlib/matplotlib#10156,6,59,3,2,0,0.0036329665767074943,0.001528446079818851,28,9,35,12,1
matplotlib/matplotlib#10162,3,169,22,0,0,0.00010375596596804317,0,1,0,1,0,0
matplotlib/matplotlib#10163,5,175,20,0,0,0.00020749040356883493,0,8,0,10,1,0
matplotlib/matplotlib#10165,3,74,1,0,0,0.003837776164298309,0.0015838895802692612,30,10,37,13,1
matplotlib/matplotlib#10167,3,226,28,0,4,0.00010370216737529814,0,1,0,1,0,0
matplotlib/matplotlib#10174,4,342,16,0,0,0.00010363768266141569,0,1,1,1,1,1
matplotlib/matplotlib#1017,5,20,2,0,0,0.00099601593625498,0.0,2,1,4,1,0
matplotlib/matplotlib#10183,10,263,24,0,0,0.0002070822116380203,0,2,0,2,0,0
matplotlib/matplotlib#10189,5,284,10,3,7,0.004139501190106592,0.0016933845111763378,33,11,40,14,1
matplotlib/matplotlib#10194,8,223,22,0,0,0.000517170045510964,0,7,1,16,5,1
matplotlib/matplotlib#1019,5,15,2,0,0,0.1441351888667992,0.024526198439241916,31,1,145,6,0
matplotlib/matplotlib#101,9,81,3,0,0,0.0594059405940594,0.0024271844660194173,7,0,8,0,0
matplotlib/matplotlib#10201,5,133,9,0,0,0.00010335917312661498,0,2,1,3,1,1
matplotlib/matplotlib#10202,5,146,22,0,0,0.00010334849111202976,0.0,2,0,2,0,0
