issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
nltk/nltk#1001,3,67,21,0,0,0.5534465534465535,0.3248667293822515,101,0,554,4,0
nltk/nltk#1007,6,63,0,0,0,0.0009930486593843098,0,1,0,1,0,0
nltk/nltk#100,4,80,9,0,1,0.78,0.014059753954305799,77,0,78,0,0
nltk/nltk#1015,5,270,25,0,1,0.0019704433497536944,0.000308546744831842,7,0,11,0,0
nltk/nltk#1017,6,135,16,0,0,0.0009832841691248771,0,2,0,2,0,0
nltk/nltk#1019,3,12,0,0,0,0.5583905789990187,0.322679778733866,102,0,569,6,0
nltk/nltk#101,4,71,2,0,0,0.7821782178217822,0.014059753954305799,78,0,79,0,0
nltk/nltk#1022,2,27,3,0,0,0.0009784735812133072,0,1,0,1,0,0
nltk/nltk#1023,8,87,3,0,0,0.0009775171065493646,0,1,0,1,0,0
nltk/nltk#1024,9,314,66,0,0,0.0009765625,0,1,0,1,0,0
nltk/nltk#1025,7,19,8,0,0,0.000975609756097561,0,1,0,1,0,0
nltk/nltk#1029,4,53,9,0,0,0.0009718172983479105,0,2,0,2,0,0
nltk/nltk#102,6,152,6,0,0,0.7843137254901961,0.014059753954305799,79,0,80,0,0
nltk/nltk#1030,7,87,6,0,0,0.000970873786407767,0,1,1,1,1,1
nltk/nltk#1031,4,423,6,0,0,0.0009699321047526673,0.0,1,0,1,0,0
nltk/nltk#1032,8,207,4,1,0,0.001937984496124031,0.0,2,0,2,0,0
nltk/nltk#1033,4,82,0,0,0,0.001936108422071636,0.00996076063990341,2,0,2,0,0
nltk/nltk#103,2,46,6,0,0,0.7864077669902912,0.014059753954305799,80,0,81,0,0
nltk/nltk#1042,3,44,0,0,0,0.0047984644913627635,0.020088626292466764,5,0,5,0,0
nltk/nltk#1045,4,130,0,0,0,0.0009569377990430622,0,1,0,1,0,0
nltk/nltk#1048,3,15,5,1,0,0.5610687022900763,0.31127379209370426,103,0,588,6,0
nltk/nltk#104,9,22,4,0,0,0.7884615384615384,0.014059753954305799,81,0,82,0,0
nltk/nltk#1050,4,517,93,0,2,0.04857142857142857,0.015757222060110883,27,0,55,0,0
nltk/nltk#1052,2,28,6,0,0,0.564638783269962,0.3091913903432228,104,0,594,7,0
nltk/nltk#1054,4,42,3,0,0,0.0009487666034155598,0,1,0,1,0,0
nltk/nltk#1056,3,159,19,0,0,0.000946969696969697,0,1,0,1,0,0
nltk/nltk#1058,3,166,21,1,0,0.001890359168241966,0,1,0,2,0,0
nltk/nltk#105,1,36,3,0,0,0.7904761904761904,0.014059753954305799,82,0,83,0,0
nltk/nltk#1062,6,312,29,0,0,0.0009416195856873823,0,1,0,1,0,0
nltk/nltk#1063,5,62,8,1,0,0.02634054562558796,0.017035775127768313,20,2,31,2,0
nltk/nltk#1065,6,11,1,0,0,0.0009389671361502347,0,1,0,1,0,0
nltk/nltk#1068,4,27,6,0,2,0.5589887640449438,0.30061867266591674,105,0,597,7,0
nltk/nltk#1069,4,285,67,0,1,0.5594013096351731,0.30061867266591674,106,0,598,7,0
nltk/nltk#106,3,414,46,0,0,0.7924528301886793,0.014059753954305799,83,0,84,0,0
nltk/nltk#1070,2,14,3,0,0,0.028037383177570093,0.01680672268907563,21,2,33,2,0
nltk/nltk#1074,4,16,5,0,1,0.5605214152700186,0.2990550305725403,107,0,602,7,0
nltk/nltk#1079,2,36,6,0,0,0.0009267840593141798,0,1,0,1,0,0
nltk/nltk#107,3,121,11,1,0,0.794392523364486,0.014059753954305799,84,0,85,0,0
nltk/nltk#1080,2,33,2,0,1,0.5666666666666667,0.2989205646277332,108,0,612,7,0
nltk/nltk#1081,3,48,5,0,2,0.5670675300647549,0.2989205646277332,109,0,613,7,0
nltk/nltk#1087,2,23,4,0,1,0.5657773689052438,0.2991194276279582,110,0,615,7,0
nltk/nltk#1089,3,78,14,0,1,0.566574839302112,0.29923203510696655,111,0,617,7,0
nltk/nltk#108,6,426,76,0,0,0.7962962962962963,0.014059753954305799,85,0,86,0,0
nltk/nltk#1090,3,24,5,1,0,0.5669724770642202,0.29942418426103645,112,0,618,7,0
nltk/nltk#1095,3,120,4,0,0,0.0009132420091324201,0,1,0,1,0,0
nltk/nltk#109,3,41,8,0,0,0.7981651376146789,0.014059753954305799,86,0,87,0,0
nltk/nltk#1102,4,91,2,0,0,0.0009074410163339383,0,1,0,1,0,0
nltk/nltk#1103,4,162,7,0,0,0.001813236627379873,0,1,0,2,0,0
nltk/nltk#1106,2,286,42,0,0,0.0009041591320072332,0,1,0,1,0,0
nltk/nltk#1108,7,76,4,0,0,0.0009025270758122744,0,1,0,1,0,0
nltk/nltk#1109,4,82,3,0,2,0.034265103697024346,0.011472785485592316,25,0,39,0,0
nltk/nltk#110,6,143,12,0,0,0.8,0.014059753954305799,87,0,88,0,0
nltk/nltk#1110,4,53,5,0,0,0.5693693693693693,0.29802561366061897,113,0,632,7,0
nltk/nltk#1116,4,19,2,0,0,0.5689964157706093,0.2986978474621313,114,0,635,7,0
nltk/nltk#1117,7,59,4,1,1,0.0017905102954341987,0.0010618529333687285,2,0,2,0,0
nltk/nltk#1119,3,12,1,0,0,0.5719392314566577,0.29856687898089174,115,0,640,7,0
nltk/nltk#111,3,255,18,0,0,0.8018018018018018,0.014059753954305799,88,0,89,0,0
nltk/nltk#1120,5,15,8,0,0,0.5723214285714285,0.2986737400530504,116,0,641,7,0
nltk/nltk#1122,2,40,6,1,1,0.5721925133689839,0.2981202012178978,117,0,642,7,0
nltk/nltk#1125,3,50,2,0,0,0.0017777777777777779,0.0007903055848261328,2,0,2,0,0
nltk/nltk#1128,2,26,1,0,0,0.0008865248226950354,0,1,0,1,0,0
nltk/nltk#112,6,76,11,0,0,0.8035714285714286,0.014059753954305799,89,0,90,0,0
nltk/nltk#1130,5,21,5,0,0,0.5734513274336284,0.29863301787592006,118,0,648,7,0
nltk/nltk#1132,8,44,2,0,0,0.0353356890459364,0.011283127787982157,26,0,41,0,0
nltk/nltk#1134,3,15,2,0,0,0.5740740740740741,0.2982456140350877,119,0,651,7,0
nltk/nltk#1135,10,272,50,0,0,0.000881057268722467,0,1,0,1,0,0
nltk/nltk#1137,6,20,2,0,0,0.0008795074758135445,0,1,0,1,0,0
nltk/nltk#113,4,86,13,0,0,0.8053097345132744,0.014059753954305799,90,0,91,0,0
nltk/nltk#1144,4,41,3,0,0,0.0008741258741258741,0,1,0,1,0,0
nltk/nltk#1147,7,222,21,0,0,0.0008718395815170009,0,1,0,1,0,0
nltk/nltk#1148,7,1,1,1,0,0.5810104529616724,0.2983182406209573,120,0,667,7,0
nltk/nltk#1149,3,12,2,1,1,0.5813751087902524,0.2983182406209573,121,0,668,7,0
nltk/nltk#114,7,96,6,1,0,0.8070175438596491,0.014059753954305799,91,0,92,0,0
nltk/nltk#1150,6,11,0,0,0,0.5817391304347826,0.2983182406209573,122,0,669,7,0
nltk/nltk#1151,5,0,0,0,0,0.5821025195482189,0.2986811481768813,123,0,670,7,0
nltk/nltk#1152,5,20,7,0,0,0.5824652777777778,0.2986811481768813,124,0,671,7,0
nltk/nltk#1154,3,12,0,0,0,0.22270363951473138,0.08565531475748193,113,4,309,12,0
nltk/nltk#1155,2,83,2,0,2,0.0008658008658008658,0,1,0,1,0,0
nltk/nltk#1158,2,127,4,0,1,0.001728608470181504,0,2,0,2,0,0
nltk/nltk#115,6,287,8,0,1,0.808695652173913,0.014059753954305799,92,0,93,0,0
nltk/nltk#1164,3,13,3,0,0,0.5907136715391229,0.30140845070422534,126,0,687,7,0
nltk/nltk#1166,2,11,0,0,0,0.590557939914163,0.30081716036772216,127,1,688,8,1
nltk/nltk#116,4,60,7,2,0,0.8103448275862069,0.014059753954305799,93,0,94,0,0
nltk/nltk#1172,7,90,18,0,1,0.5943637916310845,0.3013698630136986,128,1,696,8,0
nltk/nltk#1173,2,39,4,0,0,0.0008532423208191126,0,1,0,1,0,0
nltk/nltk#1176,7,83,11,0,0,0.03829787234042553,0.02627589691763517,10,1,45,2,0
nltk/nltk#1177,4,25,3,0,0,0.0008503401360544217,0,1,0,1,0,0
nltk/nltk#117,11,223,8,0,1,0.811965811965812,0.014059753954305799,94,0,95,0,0
nltk/nltk#1180,3,11,0,0,0,0.0016963528413910093,0,2,0,2,0,0
nltk/nltk#1181,4,140,19,0,0,0.05593220338983051,0.02798789712556732,38,2,72,4,0
nltk/nltk#1182,5,120,7,0,0,0.5935647756138865,0.3023197175995966,129,1,701,8,0
nltk/nltk#1183,5,28,2,0,0,0.0008460236886632825,0,1,0,1,0,0
nltk/nltk#1184,3,34,1,0,0,0.0008453085376162299,0,1,0,1,0,0
nltk/nltk#1187,3,12,1,0,0,0.03456998313659359,0.010801306204471239,27,0,42,0,0
nltk/nltk#1188,7,331,54,0,0,0.0008424599831508003,0,1,0,1,0,0
nltk/nltk#1189,7,146,9,0,0,0.05723905723905724,0.03089675960813866,40,2,75,4,0
nltk/nltk#118,3,111,14,0,0,0.8135593220338984,0.014059753954305799,95,0,96,0,0
nltk/nltk#1191,8,34,1,0,0,0.03613445378151261,0.010798593671521849,28,0,44,0,0
nltk/nltk#1194,2,83,9,1,0,0.5934618608549874,0.3013801756587202,130,1,708,8,0
nltk/nltk#1196,5,140,13,1,0,0.06108786610878661,0.03134403209628887,44,3,82,5,1
nltk/nltk#119,8,71,8,0,0,0.8151260504201681,0.014059753954305799,96,0,97,0,0
nltk/nltk#11,3,3034,408,0,0,0.2727272727272727,0.003795066413662239,3,0,3,0,0
nltk/nltk#1201,8,64,9,0,0,0.005,0.0,4,0,6,0,0
nltk/nltk#1203,5,30,2,0,0,0.5940099833610649,0.30077248940941936,131,1,714,9,0
nltk/nltk#1204,5,178,34,0,0,0.5943474646716542,0.30077248940941936,132,1,715,9,0
nltk/nltk#1206,3,69,10,0,0,0.0008298755186721991,0,1,0,1,0,0
nltk/nltk#1209,5,125,10,0,0,0.0008278145695364238,0,1,0,1,0,0
nltk/nltk#120,1,203,17,0,0,0.8166666666666667,0.014059753954305799,97,0,98,0,0
nltk/nltk#1210,4,55,1,0,0,0.0008271298593879239,0,1,0,1,0,0
nltk/nltk#1211,5,148,16,0,0,0.0008264462809917355,0,1,0,1,0,0
nltk/nltk#1216,4,103,8,0,1,0.06919275123558484,0.034797630799605135,47,3,93,5,0
nltk/nltk#1217,3,39,0,0,0,0.0008230452674897119,0,1,0,3,1,0
nltk/nltk#1218,3,30,7,0,0,0.5978618421052632,0.29982754372998277,133,1,727,9,0
nltk/nltk#121,4,95,16,0,0,0.8181818181818182,0.014059753954305799,98,0,99,0,0
nltk/nltk#1227,6,271,10,0,0,0.0008163265306122449,0,1,0,1,0,0
nltk/nltk#1228,7,58,11,0,0,0.041598694942903754,0.02552260573650948,11,1,51,2,0
nltk/nltk#122,6,68,5,0,0,0.819672131147541,0.014059753954305799,99,0,100,0,0
nltk/nltk#1230,5,54,3,0,0,0.0008143322475570033,0,1,0,1,0,0
nltk/nltk#1232,3,72,6,0,0,0.0008130081300813008,0,1,1,1,1,1
nltk/nltk#1237,5,78,9,0,0,0.07449392712550608,0.0390549662487946,50,3,101,7,0
nltk/nltk#1239,8,86,3,0,0,0.0008084074373484236,0,1,1,1,1,1
nltk/nltk#123,5,270,18,0,0,0.8211382113821138,0.014059753954305799,100,0,101,0,0
nltk/nltk#1241,6,23,1,0,0,0.07667473769168684,0.040605478135511776,52,3,104,8,0
nltk/nltk#1244,4,24,4,0,0,0.0008051529790660225,0,1,0,1,0,0
nltk/nltk#1246,6,13,1,0,0,0.0008038585209003215,0,4,0,4,0,0
nltk/nltk#124,5,182,4,0,0,0.8225806451612904,0.014059753954305799,101,0,102,0,0
nltk/nltk#1250,2,44,1,0,0,0.0008019246190858059,0,6,1,6,1,0
nltk/nltk#1251,6,96,2,0,0,0.0008012820512820513,0,1,0,1,0,0
nltk/nltk#1252,8,60,1,0,0,0.0024019215372297837,0.00047664442326024784,3,2,3,2,0
nltk/nltk#1253,7,7,4,0,0,0.0008,0,1,0,1,0,0
nltk/nltk#1254,4,22,0,0,0,0.0015987210231814548,0,2,2,2,2,1
nltk/nltk#1255,3,34,0,0,0,0.0007987220447284345,0,3,0,3,0,0
nltk/nltk#1256,3,59,5,0,0,0.0007980845969672786,0,1,0,1,0,0
nltk/nltk#1258,4,56,5,0,0,0.0007968127490039841,0,1,0,1,0,0
nltk/nltk#1259,9,94,17,0,0,0.0007961783439490446,0,4,0,16,3,0
nltk/nltk#125,5,184,7,0,0,0.824,0.014059753954305799,102,0,103,0,0
nltk/nltk#1260,2,26,4,0,0,0.08273667462211615,0.04383039542639352,53,3,113,10,0
nltk/nltk#1266,6,97,8,0,0,0.000791765637371338,0,1,0,1,0,0
nltk/nltk#1267,5,57,12,0,0,0.0015822784810126582,0,1,0,2,0,0
nltk/nltk#1268,3,161,7,0,0,0.08537549407114625,0.043736629427145235,55,3,117,10,0
nltk/nltk#126,3,159,8,0,0,0.8253968253968254,0.014059753954305799,103,0,104,0,0
nltk/nltk#1276,9,75,9,0,1,0.0007855459544383347,0,1,0,1,0,0
nltk/nltk#1277,5,41,1,0,0,0.0007849293563579278,0,1,0,1,0,0
