issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
numpy/numpy#10001,3,50,5,0,0,0.013083109919571045,0.004842615012106538,110,38,188,71,0
numpy/numpy#10009,5,55,2,2,0,0.004608294930875576,0.0024177441395984442,55,11,69,19,1
numpy/numpy#1000,5,50,4,1,1,0.5121457489878543,0,506,65,506,65,0
numpy/numpy#10012,5,19,0,0,1,0.008678881388621022,0,1447,240,2072,437,0
numpy/numpy#10014,4,8,0,0,0,0.008891269416175683,0,1450,241,2076,438,0
numpy/numpy#10015,2,61,4,1,0,0.00010711225364181663,0,3,1,4,1,1
numpy/numpy#10016,10,47,1,0,0,0.08568062546856592,0.0492854140395124,298,83,825,239,0
numpy/numpy#10018,8,133,12,0,0,0.00010707784559374665,0,3,1,6,1,0
numpy/numpy#1001,3,38,4,1,1,0.512639029322548,0,507,65,507,65,0
numpy/numpy#10020,7,14,0,0,0,0.08597430406852248,0.0495746245142317,300,84,828,241,0
numpy/numpy#10024,7,28,2,0,0,0.08616076206785829,0.04985829747034743,302,84,830,241,0
numpy/numpy#10026,12,47,5,0,0,0.002140181915462814,0.0006297890206780728,147,30,925,193,0
numpy/numpy#10027,8,173,14,0,0,0.00010699764605178686,0,1,1,1,1,1
numpy/numpy#10028,9,91,15,0,0,0.00010698619878035734,0,1,0,1,0,0
numpy/numpy#10029,9,109,10,0,0,0.002246469833119384,0.0006297890206780728,151,31,929,194,0
numpy/numpy#1002,6,53,6,1,0,0.5131313131313131,0,508,65,508,65,0
numpy/numpy#10033,5,49,9,0,0,0.000106928999144568,0,3,1,3,1,1
numpy/numpy#10035,10,74,16,0,0,0.00010690613641223006,0,1,0,1,0,0
numpy/numpy#10036,10,73,15,0,0,0.00010689470871191876,0,2,1,2,1,1
numpy/numpy#10037,3,59,9,0,0,0.00010688328345446772,0,1,0,1,0,0
numpy/numpy#10038,10,157,21,2,0,0.00919098001496206,0,1460,241,2090,439,0
numpy/numpy#10039,4,47,10,1,0,0.00042744176106005556,0.0,185,25,447,70,1
numpy/numpy#1003,6,47,5,1,0,0.513622603430878,0,509,65,509,65,0
numpy/numpy#10041,7,22,5,0,0,0.00010683760683760684,0,3,0,3,0,0
numpy/numpy#10043,3,32,3,0,0,0.00010681478316599017,0,1,0,1,0,0
numpy/numpy#10045,10,26,5,0,0,0.00010679196924391286,0,6,0,17,4,0
numpy/numpy#10048,4,27,8,0,0,0.00010676916506512919,0,1,0,1,0,0
numpy/numpy#1004,6,29,7,1,1,0.5141129032258065,0,510,65,510,65,0
numpy/numpy#10050,2,11,0,0,0,0.0001067463706233988,0,1,0,1,0,0
numpy/numpy#10056,3,48,4,0,0,0.013334755707275443,0.004813729593972373,111,38,191,73,0
numpy/numpy#10058,7,20,0,0,0,0.08799061433447099,0.050219711236660386,305,86,850,249,0
numpy/numpy#10059,8,70,6,0,0,0.002452810067185667,0.0006276807197405586,155,32,939,195,0
numpy/numpy#1005,7,74,6,1,0,0.5146022155085599,0,511,65,511,65,0
numpy/numpy#10060,9,98,17,0,0,0.00010663254425250586,0,10,3,12,4,0
numpy/numpy#10061,7,305,16,0,0,0.00010662117496534811,0.0,1,0,1,0,0
numpy/numpy#10062,8,38,3,0,0,0.001279317697228145,0,391,164,1351,569,0
numpy/numpy#10063,3,199,21,0,0,0.00010659844366272253,0.0,222,88,256,104,0
numpy/numpy#10064,3,24,5,0,0,0.00010658708164570453,0,1,0,1,0,0
numpy/numpy#10066,5,226,12,0,1,0.00042625745950554135,0.00020909566126502875,71,13,147,29,0
numpy/numpy#10069,6,60,10,0,0,0.00031959092361776926,0.0,3,0,3,0,0
numpy/numpy#1006,5,75,11,1,1,0.5150905432595574,0,512,65,512,65,0
numpy/numpy#10070,6,28,1,0,0,0.00010651896037494674,0,1,1,1,1,1
numpy/numpy#10071,4,186,8,1,0,0.0002130152305889871,0,1,0,2,0,0
numpy/numpy#10075,4,19,7,0,0,0.00010647359454855196,0,1,0,1,0,0
numpy/numpy#10076,3,105,20,0,0,0.00010646225912913872,0,1,0,2,0,0
numpy/numpy#10077,3,97,13,0,0,0.00010645092612305727,0,1,0,2,0,0
numpy/numpy#1007,7,64,5,1,0,0.5155778894472361,0,513,65,513,65,0
numpy/numpy#10080,5,44,3,0,0,0.00010641694157709908,0,1,0,1,0,0
numpy/numpy#10081,10,38,1,1,1,0.02372845286231113,0.005221932114882507,155,57,700,338,1
numpy/numpy#10089,7,1920,131,102,4,0.00010631511800978098,0,1,1,1,1,1
numpy/numpy#1008,3,96,6,1,0,0.5160642570281124,0,514,66,514,66,1
numpy/numpy#10094,4,51,5,0,0,0.08895738123073653,0.050234986945169716,306,86,863,252,0
numpy/numpy#10098,2,31,4,0,0,0.0005312367190820229,0,11,1,11,1,0
numpy/numpy#10099,7,29,5,0,0,0.0006374163391054924,0,12,1,12,1,0
numpy/numpy#1009,4,85,5,1,0,0.5165496489468405,0,515,66,515,66,0
numpy/numpy#10100,6,62,11,0,0,0.00010622477161674102,0,1,1,1,1,1
numpy/numpy#10102,8,17,2,1,0,0.0893160577740017,0.050527194905522495,309,87,867,253,0
numpy/numpy#10106,7,286,32,26,0,0.08970276008492568,0.050584063412599085,310,88,871,256,1
numpy/numpy#1010,5,68,8,1,1,0.5170340681362725,0,516,66,516,66,0
numpy/numpy#10118,10,68,3,0,0,0.0001060332944544587,0,1,0,1,0,0
numpy/numpy#1011,5,32,6,1,2,0.5175175175175175,0,517,66,517,66,0
