issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
pandas-dev/pandas#10000,2,50,4,0,1,0.027945542020677654,0.032583195759840124,271,53,297,66,1
pandas-dev/pandas#10001,6,35,2,0,0,0.00010235414534288638,0,1,1,2,1,1
pandas-dev/pandas#10002,5,49,5,0,0,0.028042165592058133,0.032583195759840124,272,53,298,66,0
pandas-dev/pandas#10004,6,2,0,0,0,0.1508236979433132,0.26874619862716137,1357,189,1490,230,0
pandas-dev/pandas#10005,1,12,0,0,0,0.15091057908737468,0.2688097306689835,1358,189,1491,230,0
pandas-dev/pandas#10006,7,37,1,1,0,0.002148337595907928,0.0002605523710265763,21,6,21,6,1
pandas-dev/pandas#10008,8,83,5,11,0,0.0029661450342640893,0.0020840569642236887,29,10,31,11,1
pandas-dev/pandas#1000,8,122,27,0,0,0.002,0,2,0,2,0,0
pandas-dev/pandas#10011,6,98,10,0,0,0.05112474437627812,0,620,104,771,147,0
pandas-dev/pandas#10013,9,83,9,0,0,0.00010222858311183807,0,1,0,1,0,0
pandas-dev/pandas#10017,6,55,2,0,0,0.00030656039239730225,0,3,0,3,0,0
pandas-dev/pandas#10019,6,0,0,0,0,0.0003065290691733933,0,12,2,15,3,0
pandas-dev/pandas#1001,3,72,3,0,0,0.001998001998001998,0,2,0,2,0,0
pandas-dev/pandas#10022,8,40,3,0,0,0.00010215548064153642,8.67227473766369e-05,3,0,3,0,0
pandas-dev/pandas#10025,8,47,0,0,0,0.0070465686274509805,0.0052873363959434865,80,20,100,33,0
pandas-dev/pandas#10028,6,120,6,1,0,0.028483920367534457,0.03275847127134067,273,53,303,66,0
pandas-dev/pandas#10029,7,36,2,0,0,0.0002041649652919559,0,2,0,2,0,0
pandas-dev/pandas#10033,9,4,0,1,0,0.0073476885396469025,0.005457853244390539,83,20,103,33,0
pandas-dev/pandas#10037,5,27,0,0,0,0.00040807998367680065,0,14,2,17,3,0
pandas-dev/pandas#10038,6,57,3,0,0,0.028868713659083955,0.03283090783090783,274,53,307,66,0
pandas-dev/pandas#10039,3,89,3,4,0,0.028967768257853937,0.03283090783090783,275,54,308,67,1
pandas-dev/pandas#1003,4,17,1,0,0,0.5633100697906281,0.7488667271078876,523,7,575,12,0
pandas-dev/pandas#10040,6,112,29,0,0,0.00010198878123406426,0,2,1,2,1,1
pandas-dev/pandas#10041,6,68,7,0,0,0.00010197838058331633,0.0,1,0,1,0,0
pandas-dev/pandas#10043,5,59,7,1,0,0.00010195758564437195,0,593,50,2106,260,1
pandas-dev/pandas#10046,7,110,26,0,0,0.00010192640913260625,0,1,0,1,0,0
pandas-dev/pandas#10048,5,33,3,0,0,0.02129827779476205,0.01367846939658904,188,25,217,33,0
pandas-dev/pandas#10049,6,98,2,0,0,0.0024454860403505196,8.657259111765215e-05,27,5,27,5,0
pandas-dev/pandas#1004,8,3,0,0,0,0.5637450199203188,0.7489805165382872,524,7,576,12,0
pandas-dev/pandas#10050,7,198,33,0,0,0.00010188487009679063,0,1,0,1,0,0
pandas-dev/pandas#10056,5,25,3,0,0,0.00010182262498727217,0,16,1,17,1,1
pandas-dev/pandas#10059,8,282,32,0,0,0.00010179153094462541,0,1,0,1,0,0
pandas-dev/pandas#10060,8,54,3,0,0,0.000712468193384224,0,7,1,7,1,1
pandas-dev/pandas#10062,4,57,5,0,0,0.00020352091177368474,0,2,1,2,1,1
pandas-dev/pandas#10063,7,164,9,0,0,0.00010175010175010175,0,1,0,1,0,0
pandas-dev/pandas#10065,10,36,1,0,0,0.0001017293997965412,0,1,0,1,0,0
pandas-dev/pandas#10068,8,28,1,0,0,0.02074646598189769,0.014073562424451735,204,42,209,45,0
