issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
scikit-learn/scikit-learn#10000,6,210,16,0,0,0.001478821168268723,4.751045229950589e-05,12,1,16,4,0
scikit-learn/scikit-learn#10002,6,237,20,0,0,0.00010560777273207308,0,1,0,1,0,0
scikit-learn/scikit-learn#10006,4,4,1,0,0,0.00010557432432432433,0,1,1,1,1,1
scikit-learn/scikit-learn#10007,1,14,0,0,0,0.00010556317956296844,0,1,0,1,0,0
scikit-learn/scikit-learn#10008,7,28,2,0,0,0.08866371120962635,0.0075055816825804,139,29,891,185,0
scikit-learn/scikit-learn#10009,5,38,1,0,0,0.0887598944591029,0.0075055816825804,140,29,892,185,0
scikit-learn/scikit-learn#10011,9,158,11,1,0,0.0015829463908822287,4.750368153531899e-05,13,1,17,4,0
scikit-learn/scikit-learn#10012,6,18,0,0,0,0.0438957475994513,0.0032302503444016912,52,12,419,59,0
scikit-learn/scikit-learn#10014,1,44,3,0,0,0.00010549636037556704,0,1,0,2,1,0
scikit-learn/scikit-learn#10023,6,106,4,0,0,0.0007378517971961631,0,19,4,22,5,1
scikit-learn/scikit-learn#10028,11,178,16,2,0,0.00010535187526337969,0,2,0,2,0,0
scikit-learn/scikit-learn#1002,7,46,4,0,0,0.012133468149646108,0.0004664179104477612,13,0,17,1,0
scikit-learn/scikit-learn#10031,5,171,18,0,0,0.00010531858873091101,0.0,1,0,1,0,0
scikit-learn/scikit-learn#10034,8,854,99,0,0,0.0001052853232259423,0,1,0,1,0,0
scikit-learn/scikit-learn#10036,5,64,4,0,0,0.0002105263157894737,0,2,0,2,0,0
scikit-learn/scikit-learn#10037,7,102,13,0,0,0.00010525207872855489,0.0,1,0,1,0,0
scikit-learn/scikit-learn#10039,5,228,13,0,0,0.0001052299273913501,0,1,0,1,0,0
scikit-learn/scikit-learn#10044,3,60,2,1,0,0.4778584201114968,0.09239827168700442,1116,143,4580,746,1
scikit-learn/scikit-learn#10046,9,320,19,0,0,0.0002103270585760858,0,1,0,2,0,0
scikit-learn/scikit-learn#10048,5,119,9,1,0,0.00021028283040689727,0,1,0,2,0,0
scikit-learn/scikit-learn#10049,3,58,4,0,0,0.00010513036164844407,0,1,0,1,0,0
scikit-learn/scikit-learn#1004,4,7,0,0,0,0.40968718466195764,0.10889588434184447,28,0,411,10,0
scikit-learn/scikit-learn#10051,8,23,0,0,0,0.4784528063905823,0.09239388472129902,1118,143,4589,746,0
scikit-learn/scikit-learn#10052,3,98,11,0,3,0.00010509721492380452,0,1,0,1,0,0
scikit-learn/scikit-learn#10054,5,277,14,0,0,0.00031522538615109805,0,6,0,9,0,0
scikit-learn/scikit-learn#10055,8,314,10,0,0,0.00010506408909434755,0,1,0,1,0,0
scikit-learn/scikit-learn#10056,5,42,6,0,0,0.0006303183107469272,0.0,42,8,91,19,0
scikit-learn/scikit-learn#10057,4,7,0,0,0,0.0001050420168067227,0,2,1,3,2,0
scikit-learn/scikit-learn#10059,8,123,14,0,0,0.00010501995379122033,0,1,0,1,0,0
scikit-learn/scikit-learn#10063,9,90,1,0,0,0.0002099517111064455,0,4,0,4,0,0
scikit-learn/scikit-learn#10064,5,140,25,0,0,0.012700745250341136,0.00047460844803037496,32,9,125,34,0
scikit-learn/scikit-learn#10065,7,82,8,2,0,0.00010495382031905961,0,1,1,1,1,1
scikit-learn/scikit-learn#10067,5,27,1,0,0,0.3111227701993704,0.026102225807982535,475,97,3120,632,0
scikit-learn/scikit-learn#10072,6,181,26,0,0,0.00010488777008600797,0,1,0,1,0,0
scikit-learn/scikit-learn#10073,4,170,11,0,0,0.0001048767697954903,0,1,0,1,0,0
