issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
scipy/scipy#10001,3,32,8,0,0,0.00010676916506512919,0,1,0,1,0,0
scipy/scipy#10003,5,86,17,0,0,0.0001067463706233988,0,1,0,1,0,0
scipy/scipy#10005,4,416,70,0,0,0.003735325506937033,0.0026708670045199286,16,4,35,12,1
scipy/scipy#10006,6,259,19,0,0,0.00010671219720414043,0,1,1,1,1,1
scipy/scipy#10008,5,861,35,1,0,0.0001066894270777766,0,1,1,1,1,1
scipy/scipy#1000,11,151,21,2,0,0.473,0,473,73,473,73,0
scipy/scipy#10010,9,68,16,0,0,0.00010666666666666667,0.0,1,0,1,0,0
scipy/scipy#10011,8,90,11,0,0,0.00021331058020477816,0.0,2,0,2,0,0
scipy/scipy#10013,5,142,33,0,0,0.00010664391596459421,0,1,0,1,0,0
scipy/scipy#10014,7,55,1,0,0,0.011729579867775645,0.004450530640191715,32,7,110,41,0
scipy/scipy#1001,4,51,7,4,2,0.47352647352647353,0,474,74,474,74,1
scipy/scipy#10024,3,128,30,0,0,0.0002130606157451795,0,13,4,16,6,1
scipy/scipy#10029,6,30,4,0,0,0.00010647359454855196,0,1,0,1,0,0
scipy/scipy#1002,9,43,5,1,2,0.4740518962075848,0,475,74,475,74,0
scipy/scipy#10030,8,44,10,0,0,0.00010646225912913872,0,1,0,1,0,0
scipy/scipy#10031,8,394,37,0,0,0.009687034277198211,0.012704050269790315,36,21,91,55,0
scipy/scipy#10032,11,272,21,0,1,0.00010643959552953698,0,1,0,1,0,0
scipy/scipy#10033,5,144,11,0,0,0.00010642826734780758,0,2,2,2,2,1
scipy/scipy#10036,9,10,2,0,0,0.00010639429726566656,0,6,0,10,0,0
scipy/scipy#10037,7,16,2,0,0,0.0002127659574468085,0,7,0,11,0,0
scipy/scipy#10038,6,1578,67,6,0,0.37240719072439105,0.15582109935131444,647,144,4804,1212,1
scipy/scipy#1003,5,46,9,1,1,0.4745762711864407,0,476,74,476,74,0
scipy/scipy#10042,5,95,5,0,0,0.0001063264221158958,0,2,1,2,1,1
scipy/scipy#10043,5,197,25,0,0,0.00010631511800978098,0,1,0,1,0,0
scipy/scipy#10045,7,111,10,0,0,0.00010629251700680272,0,1,0,1,0,0
scipy/scipy#10048,5,20,1,0,0,0.000956327701625757,0,28,1,28,1,0
scipy/scipy#10049,6,37,1,0,0,0.0005312367190820229,0.0006138316737143637,21,8,33,14,0
scipy/scipy#1004,4,33,6,1,0,0.4750996015936255,0,477,74,477,74,0
scipy/scipy#1005,6,545,4,1,0,0.47562189054726367,0,478,74,478,74,0
scipy/scipy#10060,4,28,4,0,0,0.015178855747797473,0,1826,278,2718,556,0
scipy/scipy#10062,9,215,15,2,0,0.00021224663058473945,0,1,0,2,0,0
scipy/scipy#10063,7,37,1,0,0,0.00010611205432937182,0,1,0,1,0,0
scipy/scipy#10068,4,11,1,0,0,0.0010605578534309047,0,29,1,29,1,0
scipy/scipy#10069,5,184,16,0,0,0.00010604453870625662,0.0,1,0,1,0,0
scipy/scipy#1006,11,180,6,1,0,0.4761431411530815,0,479,74,479,74,0
scipy/scipy#10070,9,290,31,0,0,0.0002120665889089174,0,2,0,2,0,0
scipy/scipy#10073,4,162,25,0,0,0.00010599957600169599,0,1,0,1,0,0
scipy/scipy#10074,8,128,13,1,0,0.0003179650238473768,6.784720808738721e-05,5,0,5,0,0
scipy/scipy#10078,9,100,4,0,0,0.0009534908358936328,0,13,0,18,2,0
scipy/scipy#1007,9,31,4,1,0,0.4766633565044687,0,480,74,480,74,0
scipy/scipy#10081,8,379,22,0,0,0.00010590976488032197,0,1,0,1,0,0
scipy/scipy#10082,9,82,8,0,0,0.00010589854918987609,0,1,0,1,0,0
scipy/scipy#10084,3,60,7,0,0,0.3738485971413446,0.15604276627419136,655,144,4854,1226,0
scipy/scipy#10087,6,51,6,0,0,0.00010584250635055038,0,1,0,1,0,0
scipy/scipy#10089,5,51,1,0,0,0.00031746031746031746,0,8,0,12,0,0
scipy/scipy#1008,11,371,60,1,1,0.4771825396825397,0,481,74,481,74,0
scipy/scipy#10092,3,151,21,2,0,0.00031735956839098697,0,7,2,8,3,0
scipy/scipy#10096,5,152,17,2,1,0.00010575296108291032,0,2,2,2,2,1
scipy/scipy#1009,4,31,2,1,2,0.47770069375619423,0,482,74,482,74,0
scipy/scipy#10101,4,45,8,0,0,0.3748018179896417,0.15608965703483663,658,146,4875,1235,1
scipy/scipy#10109,5,133,14,0,0,0.00010564124234100993,0,1,0,1,0,0
scipy/scipy#1010,6,17,5,1,2,0.4782178217821782,0,483,74,483,74,0
scipy/scipy#10113,9,96,13,0,0,0.00010560777273207308,0,1,1,1,1,1
scipy/scipy#10117,7,30,7,0,0,0.015201097857067455,0,1830,278,2727,557,0
scipy/scipy#1011,4,18,5,1,2,0.47873392680514343,0,484,74,484,74,0
scipy/scipy#10120,9,40,3,0,0,0.00010552975939214858,0,8,1,8,1,1
scipy/scipy#10121,3,107,18,0,0,0.00021103724807428512,0,1,0,2,0,0
scipy/scipy#10122,4,41,3,0,0,0.00021101498206372652,0,12,3,13,3,0
scipy/scipy#10123,7,60,8,0,0,0.00010549636037556704,0,3,0,5,1,0
scipy/scipy#10124,6,82,6,0,1,0.011181434599156118,0.014225038764916065,40,23,106,62,0
scipy/scipy#10125,5,285,30,0,0,0.00042189642442780296,6.741724533135576e-05,7,0,11,2,0
scipy/scipy#10126,5,89,2,0,0,0.0001054629824931449,0,1,0,1,0,0
scipy/scipy#1012,7,79,13,1,0,0.4792490118577075,0,485,74,485,74,0
