issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
tflearn/tflearn#100,5,404,39,0,0,0.01098901098901099,0,2,0,2,0,0
tflearn/tflearn#1014,4,68,3,0,0,0.0018484288354898336,0,1,0,1,0,0
tflearn/tflearn#1018,12,316,37,0,1,0.0018450184501845018,0,1,0,1,0,0
tflearn/tflearn#101,6,53,1,0,0,0.043478260869565216,0,3,0,4,0,0
tflearn/tflearn#1025,4,43,4,0,0,0.001838235294117647,0,2,0,3,0,0
tflearn/tflearn#1037,5,56,10,1,0,0.0018315018315018315,0,1,1,1,1,1
tflearn/tflearn#1042,4,52,6,0,0,0.0018248175182481751,0,1,0,1,0,0
tflearn/tflearn#1049,2,15,1,0,0,0.0018181818181818182,0,1,0,1,0,0
tflearn/tflearn#104,4,23,6,0,0,0.021052631578947368,0.0,3,0,3,0,0
tflearn/tflearn#105,4,61,1,0,0,0.07291666666666667,0,7,0,7,0,0
tflearn/tflearn#1060,7,514,31,0,0,0.0018050541516245488,0,1,0,1,0,0
tflearn/tflearn#1065,3,22,0,0,0,0.0018018018018018018,0,1,0,1,0,0
tflearn/tflearn#1069,7,234,60,0,0,0.0017953321364452424,0.0,2,0,2,0,0
tflearn/tflearn#106,3,33,0,0,0,0.05154639175257732,0,7,0,7,0,0
tflearn/tflearn#1071,3,210,25,0,0,0.0017889087656529517,0,1,0,1,0,0
tflearn/tflearn#1072,5,150,19,0,0,0.0017857142857142857,0,2,1,2,1,1
tflearn/tflearn#1075,6,118,14,0,0,0.0017825311942959,0,1,0,1,0,0
tflearn/tflearn#1077,7,0,0,0,0,0.0017793594306049821,0,1,0,1,0,0
tflearn/tflearn#107,6,14,4,0,0,0.08163265306122448,0,8,0,10,2,0
tflearn/tflearn#1087,5,55,5,0,0,0.0017699115044247787,0,1,0,1,0,0
tflearn/tflearn#1088,7,383,7,0,1,0.0017667844522968198,0,1,0,1,0,0
tflearn/tflearn#1089,11,321,2,0,0,0.003527336860670194,0,2,0,2,0,0
tflearn/tflearn#108,7,68,10,0,0,0.030303030303030304,0.0,2,0,4,2,0
tflearn/tflearn#1092,7,59,5,0,0,0.0017574692442882249,0,1,0,1,0,0
tflearn/tflearn#10,4,261,20,0,0,0.2,0.05555555555555555,5,1,6,1,0
tflearn/tflearn#1105,4,13,0,0,0,0.0017391304347826088,0,1,0,1,0,0
tflearn/tflearn#1109,4,0,0,0,0,0.001736111111111111,0,1,0,1,0,0
tflearn/tflearn#110,3,45,0,0,0,0.009900990099009901,0,2,0,3,0,0
tflearn/tflearn#1114,4,36,6,0,0,0.0017301038062283738,0,1,0,1,0,0
tflearn/tflearn#1117,6,626,52,0,0,0.0017271157167530224,0,1,0,1,0,0
tflearn/tflearn#1120,5,71,20,0,0,0.0017241379310344827,0,1,0,1,0,0
tflearn/tflearn#1127,3,129,4,0,0,0.0017211703958691911,0,1,0,1,0,0
tflearn/tflearn#1128,6,43,5,0,0,0.001718213058419244,0,1,0,1,0,0
tflearn/tflearn#112,6,169,19,0,0,0.0196078431372549,0,4,3,6,3,1
tflearn/tflearn#113,4,167,9,1,0,0.08737864077669903,0,9,1,11,3,1
