issue,title_length,body_length,project_num,issue_num,devloper_num,issue_ratio,commit_ratio,report_issue_count,report_cpc_issue_count,issue_count,cpc_issue_count,label
torch/torch7#1001,4,53,2,0,0,0.0011547344110854503,0,1,0,1,0,0
torch/torch7#1012,4,39,2,0,0,0.0022988505747126436,0.0009293680297397769,2,0,2,0,0
torch/torch7#1017,3,196,28,0,1,0.001145475372279496,0,1,0,1,0,0
torch/torch7#1019,6,32,1,0,0,0.0011441647597254005,0,1,0,1,0,0
torch/torch7#1021,5,0,1,0,0,0.002285714285714286,0,2,0,2,0,0
torch/torch7#1026,3,185,10,0,3,0.06605922551252848,0.03397612488521579,25,2,62,7,0
torch/torch7#1029,6,56,12,0,0,0.019296254256526674,0.0054894784995425435,44,11,70,17,0
torch/torch7#1030,3,10,1,0,0,0.0011337868480725624,0,1,0,1,0,0
torch/torch7#1032,6,159,4,0,0,0.004530011325028313,0,7,1,8,1,0
torch/torch7#1033,8,34,3,0,0,0.0011312217194570137,0,1,0,1,0,0
torch/torch7#1034,4,308,3,0,0,0.0022598870056497176,0,2,0,2,0,0
torch/torch7#1035,8,86,7,0,0,0.020316027088036117,0.005484460694698354,46,12,72,18,1
torch/torch7#1038,5,163,23,0,0,0.02142051860202931,0.005479452054794521,47,12,73,18,0
torch/torch7#1042,8,109,8,1,2,0.0011261261261261261,0,1,0,1,0,0
torch/torch7#1044,4,23,2,1,0,0.0011248593925759281,0,19,1,35,5,1
torch/torch7#1045,4,237,8,1,0,0.0011235955056179776,0,1,1,1,1,1
torch/torch7#1047,6,73,3,0,0,0.0011210762331838565,0,1,0,1,0,0
torch/torch7#1048,5,103,9,2,0,0.0011198208286674132,0,3,0,3,0,0
torch/torch7#1053,7,59,0,0,0,0.0022371364653243847,0,2,0,2,0,0
torch/torch7#1058,5,34,1,0,0,0.0011173184357541898,0,6,0,6,0,0
torch/torch7#1059,1,21,1,0,0,0.0011160714285714285,0,1,0,3,0,0
torch/torch7#1064,3,40,3,0,2,0.0011123470522803114,0,1,0,1,0,0
torch/torch7#106,5,110,17,0,0,0.009708737864077669,0,2,0,2,0,0
torch/torch7#1071,6,39,0,0,0,0.0011111111111111111,0,1,0,1,0,0
torch/torch7#1075,8,72,1,0,0,0.0011086474501108647,0,2,0,2,0,0
torch/torch7#1076,4,239,22,0,0,0.0011074197120708748,0,1,0,1,0,0
torch/torch7#1077,4,168,7,0,0,0.0011061946902654867,0,1,0,1,0,0
torch/torch7#107,3,27,0,0,0,0.23076923076923078,0.12550607287449392,19,2,28,3,0
torch/torch7#1080,4,364,4,0,0,0.0022099447513812156,0,2,0,2,0,0
torch/torch7#1086,5,212,6,0,0,0.0011037527593818985,0,1,1,1,1,1
torch/torch7#108,2,8,1,0,0,0.009523809523809525,0,1,0,1,0,0
torch/torch7#1092,6,875,37,0,0,0.0033076074972436605,0,3,1,3,1,1
torch/torch7#1094,7,224,14,0,0,0.00881057268722467,0,9,1,14,1,0
torch/torch7#1095,4,17,0,0,0,0.0022002200220022,0,2,1,2,1,0
torch/torch7#1098,11,571,8,0,0,0.002197802197802198,0,16,0,16,0,0
torch/torch7#1099,2,15,1,0,0,0.0010976948408342481,0,2,0,3,0,0
torch/torch7#109,2,5,0,0,0,0.009433962264150943,0,1,1,1,1,1
torch/torch7#1104,6,318,42,0,0,0.0010964912280701754,0,1,0,1,0,0
torch/torch7#1112,5,77,6,4,0,0.001095290251916758,0,1,0,1,0,0
torch/torch7#1120,8,15,0,0,0,0.002188183807439825,0,25,1,42,5,0
torch/torch7#1128,7,144,1,0,0,0.001092896174863388,0,1,0,1,0,0
torch/torch7#1143,3,8949,737,0,0,0.001091703056768559,0,1,1,1,1,1
torch/torch7#1144,7,54,9,0,0,0.0010905125408942203,0,1,0,1,0,0
torch/torch7#1146,11,162,12,0,0,0.0010893246187363835,0,5,1,8,3,0
torch/torch7#1154,10,402,14,0,0,0.001088139281828074,0,1,0,1,0,0
torch/torch7#1159,3,14,5,0,0,0.0010857763300760044,0,1,0,1,0,0
torch/torch7#1160,6,25,0,0,0,0.0010845986984815619,0,1,0,1,0,0
torch/torch7#1168,4,1990,24,0,1,0.0010834236186348862,0,1,0,1,0,0
torch/torch7#1169,8,24,1,0,0,0.0010822510822510823,0,10,0,15,0,0
torch/torch7#1170,7,43,4,0,0,0.001081081081081081,0,1,0,1,0,0
torch/torch7#1172,3,16,0,0,0,0.0010799136069114472,0,2,0,3,0,0
torch/torch7#1178,7,68,1,0,0,0.0010787486515641855,0,1,0,1,0,0
torch/torch7#1179,2,84,9,0,0,0.0021551724137931034,0,2,0,2,0,0
torch/torch7#117,6,43,0,0,0,0.035398230088495575,0.011627906976744186,6,0,6,0,0
torch/torch7#1190,12,1902,104,0,0,0.001076426264800861,0,1,0,1,0,0
torch/torch7#1192,4,118,16,0,0,0.001075268817204301,0,1,0,1,0,0
torch/torch7#1194,3,110,5,0,0,0.0010741138560687433,0,1,1,1,1,1
torch/torch7#1199,8,301,5,0,1,0.001072961373390558,0,3,1,5,1,0
torch/torch7#1206,3,376,42,0,0,0.0010718113612004287,0,1,0,1,0,0
torch/torch7#1208,2,222,34,0,0,0.008565310492505354,0,1945,287,2880,580,0
torch/torch7#1212,5,23,0,0,0,0.0010695187165775401,0,1,0,1,0,0
torch/torch7#1219,8,254,20,0,0,0.0010683760683760685,0,1,0,1,0,0
torch/torch7#1224,3,196,7,0,0,0.0010672358591248667,0,1,1,1,1,1
torch/torch7#1230,3,191,11,0,0,0.0010660980810234541,0,1,0,1,0,0
torch/torch7#1233,0,0,0,0,0,0.0010649627263045794,0,1,0,1,0,0
torch/torch7#12,3,14,0,0,0,0.18181818181818182,0.1590909090909091,2,0,2,0,0
torch/torch7#130,4,190,2,0,0,0.007936507936507936,0,1,0,1,0,0
torch/torch7#133,7,54,3,0,0,0.007751937984496124,0,1,0,1,0,0
torch/torch7#140,3,47,5,1,0,0.04411764705882353,0.003484320557491289,6,0,6,0,0
torch/torch7#142,3,104,22,0,0,0.007246376811594203,0,3,0,3,0,0
torch/torch7#146,5,57,3,0,0,0.007042253521126761,0,1,0,1,0,0
torch/torch7#149,5,47,0,0,0,0.006896551724137931,0,1,0,1,0,0
torch/torch7#150,2,8,0,0,0,0.00684931506849315,0,23,4,37,8,1
torch/torch7#155,4,27,3,0,0,0.006622516556291391,0,1,0,1,0,0
torch/torch7#156,6,35,0,0,0,0.006578947368421052,0,1,0,1,0,0
torch/torch7#157,7,60,1,0,0,0.006535947712418301,0,1,0,1,0,0
torch/torch7#160,2,28,0,0,0,0.00641025641025641,0.0,1,0,1,0,0
torch/torch7#162,5,172,17,0,1,0.006329113924050633,0,1,0,1,0,0
torch/torch7#163,5,45,1,0,1,0.2138364779874214,0.10289389067524116,21,2,38,3,0
torch/torch7#167,4,57,2,0,0,0.006211180124223602,0,1,1,1,1,1
torch/torch7#168,2,9,0,0,0,0.7160493827160493,0.3108974358974359,18,1,117,9,0
torch/torch7#169,4,70,1,0,0,0.006134969325153374,0,1,0,1,0,0
torch/torch7#170,7,78,6,0,0,0.006097560975609756,0,1,0,1,0,0
torch/torch7#172,4,100,18,0,0,0.006024096385542169,0,3,0,3,0,0
torch/torch7#174,5,599,10,0,0,0.005952380952380952,0,1,0,1,0,0
torch/torch7#186,5,39,8,0,0,0.00558659217877095,0,1,0,1,0,0
torch/torch7#190,10,54,2,0,0,0.005494505494505495,0,2,1,2,1,1
torch/torch7#191,4,738,55,0,0,0.00546448087431694,0,1,0,1,0,0
torch/torch7#194,2,24,0,0,1,0.1989247311827957,0.15294117647058825,3,0,37,2,0
torch/torch7#207,2,132,19,0,0,0.005025125628140704,0,1,0,1,0,0
torch/torch7#208,5,150,3,0,0,0.01,0,9,0,12,0,0
torch/torch7#215,7,87,9,1,0,0.014492753623188406,0,10,0,13,0,0
torch/torch7#220,3,44,3,0,0,0.004784688995215311,0,1,0,1,0,0
torch/torch7#224,5,63,1,0,0,0.004694835680751174,0,1,0,1,0,0
torch/torch7#226,8,48,4,0,0,0.004651162790697674,0,1,0,1,0,0
torch/torch7#229,6,79,3,0,0,0.009216589861751152,0.002577319587628866,2,1,2,1,1
torch/torch7#22,6,68,10,0,0,0.09523809523809523,0.10256410256410256,5,0,5,0,0
torch/torch7#232,5,226,7,0,0,0.0045662100456621,0,1,0,1,0,0
torch/torch7#233,4,32,1,0,0,0.004545454545454545,0,1,0,1,0,0
torch/torch7#237,4,87,10,0,0,0.13392857142857142,0.05793450881612091,27,0,30,0,0
torch/torch7#242,2,6,0,0,0,0.004366812227074236,0,1,0,1,0,0
torch/torch7#243,3,57,3,0,0,0.004347826086956522,0,1,0,1,0,0
torch/torch7#249,5,114,22,0,0,0.00423728813559322,0.0,2,0,4,2,0
torch/torch7#24,3,19,1,0,0,0.17391304347826086,0.0375,1,0,4,0,0
torch/torch7#250,3,81,0,0,0,0.004219409282700422,0,1,0,1,0,0
torch/torch7#251,7,53,4,0,0,0.008403361344537815,0.0,3,0,5,2,0
torch/torch7#255,3,114,14,0,0,0.02066115702479339,0.009456264775413711,7,0,7,0,0
torch/torch7#256,3,44,3,0,0,0.012345679012345678,0,3,1,3,1,0
torch/torch7#257,5,12,0,0,0,0.012295081967213115,0.0,4,0,6,2,0
torch/torch7#259,3,17,2,0,0,0.02032520325203252,0.002325581395348837,6,0,8,2,0
torch/torch7#261,5,91,3,0,0,0.004032258064516129,0,1,0,1,0,0
torch/torch7#263,5,17,1,0,0,0.024096385542168676,0.002325581395348837,7,0,9,2,0
torch/torch7#264,5,8,0,0,0,0.028,0.002325581395348837,8,0,10,2,0
torch/torch7#265,6,281,24,0,0,0.00796812749003984,0,641,108,801,155,0
torch/torch7#266,2,9,0,0,0,0.011904761904761904,0,643,109,803,156,0
torch/torch7#26,5,42,2,0,0,0.04,0,1,0,1,0,0
torch/torch7#270,6,89,6,0,0,0.00392156862745098,0,2,1,2,1,1
torch/torch7#273,4,83,4,0,0,0.003875968992248062,0,1,0,1,0,0
torch/torch7#275,29,63,2,0,0,0.0038461538461538464,0,1,0,1,0,0
torch/torch7#276,5,45,7,0,0,0.0038314176245210726,0,1,0,1,0,0
torch/torch7#278,2,6,0,0,0,0.0038022813688212928,0,1,0,1,0,0
torch/torch7#279,6,31,1,0,0,0.003787878787878788,0,1,0,1,0,0
torch/torch7#27,3,121,21,0,0,0.038461538461538464,0,1,0,1,0,0
torch/torch7#281,7,172,18,0,3,0.13533834586466165,0.045146726862302484,13,0,36,1,0
torch/torch7#284,6,62,13,0,3,0.02973977695167286,0.002242152466367713,9,1,11,3,1
torch/torch7#288,3,195,13,0,0,0.003663003663003663,0,1,0,1,0,0
torch/torch7#28,2,57,5,0,0,0.037037037037037035,0,2,0,2,0,0
torch/torch7#293,2,10,0,0,0,0.0036101083032490976,0,1,0,1,0,0
torch/torch7#294,2,26,0,0,0,0.0035971223021582736,0,4,1,6,1,1
torch/torch7#297,3,42,3,0,0,0.0035587188612099642,0,1,0,1,0,0
torch/torch7#298,4,49,0,0,0,0.0035460992907801418,0,1,1,1,1,1
torch/torch7#299,8,51,0,1,0,0.0035335689045936395,0,5,0,7,1,0
torch/torch7#300,3,78,4,0,0,0.056338028169014086,0.002178649237472767,10,1,19,7,0
torch/torch7#301,2,32,1,0,0,0.0035087719298245615,0,1,0,1,0,0
torch/torch7#302,5,44,0,0,0,0.006993006993006993,0,2,1,2,1,0
torch/torch7#303,5,62,0,0,0,0.003484320557491289,0,1,0,1,0,0
torch/torch7#304,4,45,1,0,0,0.003472222222222222,0,1,0,1,0,0
torch/torch7#311,10,79,3,0,0,0.003389830508474576,0,1,0,1,0,0
torch/torch7#312,4,7,2,0,0,0.013513513513513514,0,663,111,834,162,0
torch/torch7#313,12,0,0,0,0,0.016835016835016835,0,665,111,836,162,0
torch/torch7#317,5,144,0,0,0,0.0033222591362126247,0,1,0,1,0,0
torch/torch7#322,3,77,0,1,0,0.006535947712418301,0,2,0,2,0,0
torch/torch7#326,3,60,1,0,0,0.6915584415584416,0.35699797160243407,26,2,217,19,1
torch/torch7#327,7,434,23,0,0,0.003236245954692557,0,1,0,1,0,0
torch/torch7#332,2,2267,80,0,0,0.0031847133757961785,0,1,0,1,0,0
torch/torch7#333,3,29,0,0,0,0.0031746031746031746,0,1,0,1,0,0
torch/torch7#336,4,46,3,0,0,0.0031446540880503146,0,1,0,1,0,0
torch/torch7#338,3,4,0,0,0,0.00625,0,7,1,11,2,0
torch/torch7#33,4,8,1,0,0,0.125,0.17142857142857143,4,1,6,2,0
torch/torch7#341,4,53,4,0,0,0.09287925696594428,0.027722772277227723,13,1,30,5,0
torch/torch7#343,4,61,3,0,0,0.006153846153846154,0,2,0,2,0,0
torch/torch7#344,4,39,5,0,0,0.003067484662576687,0,4,0,4,0,0
torch/torch7#346,2,29,1,0,0,0.009146341463414634,0,8,1,12,2,0
torch/torch7#348,7,25,2,0,0,0.07575757575757576,0.0019723865877712033,12,2,29,10,1
torch/torch7#349,4,75,1,0,0,0.006042296072507553,0,2,0,2,0,0
torch/torch7#352,8,46,1,0,0,0.0029940119760479044,0,1,0,1,0,0
torch/torch7#355,4,142,8,0,0,0.002967359050445104,0,1,0,1,0,0
torch/torch7#357,8,86,5,0,0,0.0029498525073746312,0,1,0,1,0,0
torch/torch7#359,7,21,0,0,0,0.0058823529411764705,0.0,2,0,2,0,0
torch/torch7#361,2,42,3,0,0,0.008797653958944282,0,3,0,3,0,0
torch/torch7#362,4,93,3,0,0,0.0029239766081871343,0.0,1,0,1,0,0
torch/torch7#363,8,38,6,0,0,0.685131195335277,0.36363636363636365,29,2,239,21,0
torch/torch7#365,2,36,6,0,0,0.002898550724637681,0.0,5,2,5,2,0
torch/torch7#369,4,16,10,0,0,0.002881844380403458,0,7,3,13,6,0
torch/torch7#36,4,75,3,0,0,0.05714285714285714,0,2,0,2,0,0
torch/torch7#370,4,84,1,1,0,0.0028735632183908046,0,1,0,1,0,0
torch/torch7#371,2,7,2,0,0,0.0028653295128939827,0,1,0,1,0,0
torch/torch7#379,7,62,7,1,0,0.0028089887640449437,0,1,0,1,0,0
torch/torch7#380,3,61,0,0,0,0.0784313725490196,0.0018832391713747645,13,2,32,10,0
torch/torch7#381,4,14,0,0,0,0.008379888268156424,0.0018832391713747645,3,0,3,0,0
torch/torch7#396,4,5,0,0,0,0.0027247956403269754,0,1,0,1,0,0
